County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Anderson,4/5N,"6,400","4,356","2,817","1,539","48,045","8,658","2,051",833,"20,206",,,
Andrews,9/10,"2,200","3,045","2,377",668,"13,503","1,833",309,106,"5,450",,,
Angelina,4/5N,"17,900","13,618","9,170","4,448","67,056","14,422","6,534","1,752","28,054",,,
Aransas,11,"1,300","3,355","2,461",894,"19,803","6,791",370,252,"6,701",,,
Archer,2/3,900,"1,921","1,312",609,"6,921","1,677",80,13,"2,381",,,
Armstrong,1,500,561,350,211,"1,499",470,32,86,466,,,
Atascosa,8,"4,100","4,869","3,434","1,435","38,768","7,605","1,124",651,"15,239",,,
Austin,6/5S,"2,300","5,231","4,104","1,127","23,704","5,933",667,396,"7,873",,,
Bailey,1,"7,425","2,542","1,428","1,114","5,089","1,036",114,74,"1,982",,,
Bandera,8,600,"2,834","2,161",673,"19,763","6,439",352,180,"6,555",,,
Bastrop,7,"10,900","6,680","4,680","2,000","68,839","13,865","1,462",696,"29,356",,,
Baylor,2/3,"3,050","1,535",857,678,"2,793",844,137,97,908,,,
Bee,11,"23,100","8,374","5,565","2,809","26,496","4,091",981,684,"11,359",,,
Bell,7,"58,050","36,241","24,792","11,449","272,969","40,534","15,894","2,466","95,066",,,
Bexar,8,"452,750","309,744","214,072","95,672","1,552,823","247,843","100,704","17,248","614,646",,,
Blanco,7,"1,300","1,841","1,513",328,"10,092","3,004",90,102,"3,388",,,
Borden,9/10,0,80,58,22,543,174,9,0,163,,,
Bosque,7,"3,000","2,895","1,772","1,123","15,224","4,741",624,407,"5,126",,,
Bowie,4/5N,"15,850","7,687","4,852","2,835","73,689","15,832","6,332","1,467","29,102",,,
Brazoria,6/5S,"45,000","56,042","37,580","18,462","287,683","45,752","9,762","2,648","105,966",,,
Brazos,7,"33,900","24,471","17,397","7,074","186,843","21,693","7,514","1,414","59,619",,,
Brewster,9/10,"1,600","2,281","1,914",367,"7,706","2,231",303,0,"2,579",,,
Briscoe,1,400,515,363,152,"1,272",404,19,0,452,,,
Brooks,11,"1,300","1,244","1,005",239,"5,317","1,308",323,246,"2,253",,,
Brown,2/3,"3,000","3,752","2,659","1,093","30,883","7,720","1,663",911,"11,188",,,
Burleson,7,"1,100","2,245","1,638",607,"14,869","3,867",143,218,"5,600",,,
Burnet,7,"8,475","5,123","3,972","1,151","39,239","10,999","1,823",595,"13,132",,,
Caldwell,7,"3,700","3,555","2,449","1,106","34,853","6,512","1,286",524,"14,114",,,
Calhoun,8,"1,400","2,608","1,777",831,"16,817","3,981",470,384,"6,161",,,
Callahan,2/3,"1,300","1,705","1,229",476,"11,263","2,958",146,122,"4,094",,,
Cameron,11,"89,425","78,678","54,450","24,228","311,689","58,607","29,737","6,315","127,806",,,
Camp,4/5N,400,"1,339",962,377,"10,031","2,494",207,152,"3,927",,,
Carson,1,300,"1,192",747,445,"4,718","1,250",60,0,"1,547",,,
Cass,4/5N,700,"1,479",977,502,"24,182","6,856","1,216",550,"9,010",,,
Castro,1,"1,300","1,311",942,369,"5,607","1,236",121,174,"2,168",,,
Chambers,6/5S,"11,700","4,929","3,314","1,615","33,062","5,259",958,244,"12,484",,,
Cherokee,4/5N,"6,800","5,945","4,004","1,941","40,876","9,444","1,500",738,"16,376",,,
Childress,1,"1,700","1,343",791,552,"6,094","1,165",251,136,"2,395",,,
Clay,2/3,"5,375","2,919","2,304",615,"8,666","2,484",136,60,"3,011",,,
Cochran,1,400,609,467,142,"2,188",468,57,0,956,,,
Coke,9/10,0,517,368,149,"2,756",947,47,130,899,,,
Coleman,2/3,900,993,625,368,"6,721","2,119",342,162,"2,379",,,
Collin,2/3,"143,350","157,664","117,628","40,036","801,716","116,575","38,139","7,817","236,374",,,
Collingsworth,1,700,686,453,233,"2,263",555,80,92,847,,,
Colorado,6/5S,"2,600","3,297","2,601",696,"17,107","4,850",853,477,"5,957",,,
Comal,8,"20,500","23,328","17,862","5,466","125,307","28,528","5,457","1,845","38,712",,,
Comanche,2/3,"2,950","2,854","1,579","1,275","10,944","3,330",330,292,"3,738",,,
Concho,9/10,400,552,464,88,"2,288",689,76,66,815,,,
Cooke,2/3,"4,600","5,037","3,631","1,406","32,675","7,804",948,552,"11,640",,,
Coryell,7,"9,025","6,759","4,660","2,099","60,428","8,040","1,178",610,"22,789",,,
Cottle,2/3,0,167,114,53,"1,123",339,5,0,446,,,
Crane,9/10,"2,250",945,706,239,"3,554",594,71,110,"1,353",,,
Crockett,9/10,0,825,574,251,"2,694",612,31,56,"1,031",,,
Crosby,1,"2,450","1,522","1,190",332,"4,421","1,085",98,115,"1,771",,,
Culberson,9/10,700,377,296,81,"1,746",480,67,0,722,,,
Dallam,1,"6,850","2,436","1,706",730,"5,217",857,40,0,"2,067",,,
Dallas,2/3,"547,325","359,031","252,233","106,798","2,028,105","292,117","142,713","21,399","730,851",,,
Dawson,9/10,"1,100","1,194",945,249,"9,789","1,898",304,112,"4,206",,,
Deaf Smith,1,"2,300","2,494","1,754",740,"13,439","2,423",238,147,"5,332",,,
Delta,4/5N,300,598,456,142,"4,222","1,118",379,100,"1,580",,,
Denton,2/3,"123,050","92,076","64,687","27,389","697,330","93,499","23,806","5,913","257,836",,,
DeWitt,8,"1,000","1,801","1,240",561,"16,110","4,035",319,438,"6,110",,,
Dickens,1,0,294,254,40,"1,858",525,21,0,689,,,
Dimmit,8,"8,125","3,491","2,702",789,"7,539","1,749",238,175,"3,179",,,
Donley,1,300,560,370,190,"2,716",804,27,65,918,,,
Duval,11,900,"2,228","1,540",688,"8,600","2,031",69,150,"3,541",,,
Eastland,2/3,"1,400","1,892","1,258",634,"14,970","4,054",860,389,"5,393",,,
Ector,9/10,"41,800","27,690","20,277","7,413","120,896","15,970","5,303","1,016","50,679",,,
Edwards,8,0,188,158,30,"1,555",561,24,0,528,,,
El Paso,9/10,"194,000","168,181","112,618","55,563","640,180","105,175","35,065","8,383","245,567",,,
Ellis,2/3,"16,900","24,707","18,506","6,201","141,665","24,288","3,985","1,994","54,463",,,
Erath,2/3,"3,600","4,248","3,113","1,135","34,875","6,256","1,250",481,"12,564",,,
Falls,7,"7,825","2,142","1,783",359,"14,049","3,226",328,187,"5,671",,,
Fannin,2/3,"10,525","4,787","3,323","1,464","28,874","6,588",962,614,"10,987",,,
Fayette,7,"1,600","3,398","2,676",722,"20,879","6,679",998,647,"6,844",,,
Fisher,2/3,700,584,463,121,"3,088",961,101,28,"1,061",,,
Floyd,1,700,"1,123",823,300,"4,371","1,070",132,68,"1,723",,,
Foard,2/3,500,536,410,126,962,315,7,80,332,,,
Fort Bend,6/5S,"116,900","149,688","104,300","45,388","616,413","93,851","24,721","4,977","175,581",,,
Franklin,4/5N,900,"1,303",916,387,"8,554","2,367",169,163,"2,871",,,
Freestone,7,"1,300","1,449",991,458,"15,808","3,996",553,261,"6,319",,,
Frio,8,"4,650","2,838","2,031",807,"16,121","2,499",186,166,"6,797",,,
Gaines,9/10,"1,600","1,748","1,152",596,"14,548","1,907",323,95,"6,156",,,
Galveston,6/5S,"69,200","70,324","44,828","25,496","269,280","50,987","11,784","2,830","96,486",,,
Garza,1,500,488,383,105,"5,325",719,33,75,"2,197",,,
Gillespie,8,"9,200","5,501","4,217","1,284","22,307","8,110","1,175",706,"6,815",,,
Glasscock,9/10,0,301,269,32,"1,099",210,23,0,426,,,
Goliad,8,400,"1,619","1,049",570,"6,281","1,832",39,135,"2,282",,,
Gonzales,8,"1,900","2,758","1,852",906,"15,937","3,572",550,256,"6,356",,,
Gray,1,"1,800","2,652","1,775",877,"16,924","3,531",689,315,"6,978",,,
Grayson,2/3,"24,600","16,717","11,379","5,338","107,521","24,182","9,338","2,131","40,586",,,
Gregg,4/5N,"29,375","17,552","12,833","4,719","95,544","19,451","7,025","2,324","37,362",,,
Grimes,7,"1,700","2,656","1,872",784,"23,245","5,134",234,311,"9,653",,,
Guadalupe,8,"17,425","18,279","13,312","4,967","130,517","23,614","3,801","1,225","49,282",,,
Hale,1,"3,300","4,643","3,168","1,475","25,476","4,604",873,399,"10,561",,,
Hall,1,0,747,572,175,"2,406",711,27,72,978,,,
Hamilton,7,"1,800","1,604","1,020",584,"6,832","2,146",481,296,"2,427",,,
Hansford,1,900,957,645,312,"3,987",812,139,84,"1,616",,,
Hardeman,2/3,"1,200","1,277",843,434,"3,190",912,102,16,"1,146",,,
Hardin,6/5S,"5,900","7,580","5,584","1,996","45,112","9,762","1,003",527,"16,190",,,
Harris,6/5S,"871,450","640,414","435,310","205,104","3,601,939","514,167","225,769","27,623","1,408,024",,,
Harrison,4/5N,"4,900","5,238","3,792","1,446","51,900","11,607","3,063",608,"20,509",,,
Hartley,1,"1,475","1,556","1,020",536,"4,561",861,196,94,"1,669",,,
Haskell,2/3,600,"1,079",843,236,"4,831","1,266",123,68,"1,872",,,
Hays,7,"35,350","28,653","21,200","7,453","183,380","26,187","5,488","1,907","61,462",,,
Hemphill,1,"1,300","1,004",634,370,"2,827",606,104,98,"1,066",,,
Henderson,4/5N,"5,100","8,430","6,014","2,416","67,238","18,534","2,043",998,"26,544",,,
Hidalgo,11,"188,750","134,574","92,078","42,496","620,824","98,328","54,962","17,074","286,328",,,
Hill,7,"2,200","4,516","3,024","1,492","29,198","7,684",862,523,"11,381",,,
Hockley,1,"1,400","3,878","2,854","1,024","17,799","3,453",483,263,"6,829",,,
Hood,2/3,"5,200","8,226","6,446","1,780","50,193","15,416","1,720",867,"16,867",,,
Hopkins,4/5N,"3,800","3,899","2,593","1,306","29,175","6,887","1,192",620,"11,166",,,
Houston,4/5N,"2,100","2,239","1,383",856,"18,929","5,176",634,538,"7,399",,,
Howard,9/10,"3,500","3,294","2,141","1,153","29,544","4,813","1,456",454,"12,143",,,
Hudspeth,9/10,300,715,530,185,"3,979",775,33,0,"1,778",,,
Hunt,2/3,"8,750","10,270","6,659","3,611","77,878","15,810","4,112",947,"31,096",,,
Hutchinson,1,"1,000","2,709","1,916",793,"16,258","3,581",504,246,"6,098",,,
Irion,9/10,0,217,152,65,"1,234",328,15,0,429,,,
Jack,2/3,"1,200","1,172",868,304,"7,230","1,515",198,149,"2,732",,,
Jackson,8,"4,450","2,906","2,034",872,"11,425","2,720",380,237,"4,205",,,
Jasper,4/5N,"8,800","5,401","4,459",942,"28,056","7,187","1,597",374,"11,687",,,
Jeff Davis,9/10,200,675,618,57,"2,180",812,28,0,685,,,
Jefferson,6/5S,"55,150","28,141","20,865","7,276","197,382","37,595","13,127","2,431","90,120",,,
Jim Hogg,11,400,"1,461",953,508,"3,791",890,14,60,"1,572",,,
Jim Wells,11,"8,925","9,355","6,673","2,682","30,579","6,358","3,897",985,"12,474",,,
Johnson,2/3,"11,600","17,112","11,480","5,632","135,345","25,151","3,559","1,471","53,224",,,
Jones,2/3,700,"1,760","1,320",440,"17,011","3,188",337,254,"6,981",,,
Karnes,8,"2,500","1,891","1,394",497,"12,669","2,211",370,244,"5,177",,,
Kaufman,2/3,"6,750","14,985","10,188","4,797","102,341","16,113","2,857","1,189","40,613",,,
Kendall,8,"3,000","7,528","5,558","1,970","37,890","9,152","1,091",801,"12,702",,,
Kenedy,11,0,116,108,8,321,68,1,0,139,,,
Kent,2/3,0,188,133,55,615,201,13,60,198,,,
Kerr,8,"5,400","6,244","4,705","1,539","43,793","14,769","2,805","1,022","13,990",,,
Kimble,9/10,700,767,624,143,"3,651","1,288",90,0,"1,243",,,
King,1,0,31,27,4,205,51,7,0,69,,,
Kinney,8,200,484,411,73,"3,050",910,11,0,"1,171",,,
Kleberg,11,"14,325","8,232","7,103","1,129","24,188","4,046","1,401",341,"9,265",,,
Knox,2/3,700,981,678,303,"2,808",736,95,127,976,,,
La Salle,8,"7,325","2,557","1,760",797,"6,212","1,018",22,60,"2,410",,,
Lamar,4/5N,"8,000","7,258","5,478","1,780","39,402","9,726","3,115",745,"14,986",,,
Lamb,1,600,"2,782","1,805",977,"9,740","2,240",454,226,"3,968",,,
Lampasas,7,900,"1,997","1,531",466,"17,366","4,322",348,284,"6,457",,,
Lavaca,8,"2,300","3,034","1,891","1,143","16,004","4,775",820,612,"5,435",,,
Lee,7,800,"1,592","1,125",467,"13,993","3,219",334,226,"5,333",,,
Leon,7,"1,000","1,233",817,416,"13,946","4,334",155,74,"4,662",,,
Liberty,6/5S,"11,125","6,124","4,045","2,079","66,868","11,399","1,398",614,"28,567",,,
Limestone,7,"2,600","2,088","1,392",696,"18,871","4,670","2,332","1,060","7,512",,,
Lipscomb,1,200,591,427,164,"2,520",617,24,61,919,,,
Live Oak,11,400,"1,613","1,183",430,"10,055","2,533",35,100,"3,769",,,
Llano,7,"1,400","3,036","2,506",530,"18,908","8,119",277,358,"5,362",,,
Loving,9/10,0,25,23,2,129,23,0,0,50,,,
Lubbock,1,"105,500","81,958","55,723","26,235","244,992","39,476","20,974","4,093","83,028",,,
Lynn,1,400,"1,218",837,381,"4,496",974,191,40,"1,838",,,
Madison,7,"1,000",968,669,299,"11,595","2,264",299,258,"4,451",,,
Marion,4/5N,0,732,496,236,"8,277","2,697",351,158,"3,058",,,
Martin,9/10,800,"1,199",902,297,"4,136",659,165,0,"1,624",,,
Mason,9/10,500,776,633,143,"3,521","1,250",104,0,"1,147",,,
Matagorda,6/5S,"3,000","3,005","2,033",972,"28,247","6,391","1,113",369,"11,409",,,
Maverick,8,"11,000","5,496","4,424","1,072","42,606","7,003","2,970","1,198","18,727",,,
McCulloch,9/10,"1,300",973,801,172,"6,435","1,792",212,122,"2,275",,,
McLennan,7,"44,050","34,096","24,275","9,821","200,781","37,728","11,153","3,621","71,906",,,
McMullen,11,100,106,99,7,616,189,10,0,202,,,
Medina,8,"2,700","6,527","4,717","1,810","41,263","8,757",899,536,"16,090",,,
Menard,9/10,200,487,408,79,"1,790",699,9,40,550,,,
Midland,9/10,"42,325","31,014","23,651","7,363","131,025","18,438","5,950","1,288","49,538",,,
Milam,7,"2,900","3,305","2,140","1,165","19,689","5,245",532,297,"7,641",,,
Mills,7,300,922,630,292,"4,006","1,416",149,152,"1,305",,,
Mitchell,2/3,"1,000",960,675,285,"6,958","1,259",265,96,"2,753",,,
Montague,2/3,"2,550","3,275","2,328",947,"15,872","4,444",560,383,"5,668",,,
Montgomery,6/5S,"84,900","73,811","50,450","23,361","467,232","81,457","20,255","3,836","157,396",,,
Moore,1,"1,500","5,051","4,032","1,019","14,986","2,372",448,176,"6,143",,,
Morris,4/5N,700,"1,039",716,323,"9,830","2,730",77,179,"3,692",,,
Motley,1,0,194,147,47,994,368,22,50,319,,,
Nacogdoches,4/5N,"10,500","10,222","6,512","3,710","51,773","9,953","2,530",755,"19,948",,,
Navarro,2/3,"9,200","7,978","6,669","1,309","38,360","8,651","1,720",869,"15,775",,,
Newton,4/5N,900,"1,605","1,304",301,"11,298","2,878",55,113,"4,648",,,
Nolan,2/3,"3,200","2,489","1,720",769,"11,321","2,737",519,251,"4,249",,,
Nueces,11,"85,175","52,783","33,656","19,127","284,366","54,069","25,582","4,100","113,767",,,
Ochiltree,1,"1,500","1,310",817,493,"7,106","1,148",200,114,"2,812",,,
Oldham,1,300,431,267,164,"1,728",316,18,0,654,,,
Orange,6/5S,"2,000","7,007","5,700","1,307","65,087","13,729","1,456",548,"26,244",,,
Palo Pinto,2/3,"2,200","2,257","1,611",646,"23,207","5,893",864,283,"8,796",,,
Panola,4/5N,"1,700","1,879","1,320",559,"18,462","4,589",473,377,"7,117",,,
Parker,2/3,"19,250","19,450","13,414","6,036","111,686","22,331","2,890","1,301","40,567",,,
Parmer,1,900,"2,050","1,394",656,"7,222","1,366",161,174,"2,910",,,
Pecos,9/10,"2,000","3,039","2,435",604,"12,317","2,141",400,120,"5,047",,,
Polk,4/5N,"4,300","6,614","4,909","1,705","42,276","9,733","1,184",574,"17,118",,,
Potter,1,"89,325","27,335","17,473","9,862","88,673","15,203","10,224","1,770","35,559",,,
Presidio,9/10,"1,500","1,787","1,566",221,"5,069","1,601",27,0,"2,039",,,
Rains,4/5N,500,"1,088",760,328,"10,277","3,123",163,68,"3,649",,,
Randall,1,"6,200","41,465","25,912","15,553","108,431","21,424","2,812",869,"34,803",,,
Reagan,9/10,300,486,370,116,"2,841",427,52,42,"1,173",,,
Real,8,200,777,579,198,"2,943","1,053",25,86,"1,051",,,
Red River,4/5N,900,"1,763","1,309",454,"9,965","3,044",420,252,"3,717",,,
Reeves,9/10,"7,725","4,516","3,130","1,386","12,781","1,878",281,89,"5,277",,,
Refugio,11,700,"1,364",942,422,"5,583","1,617",228,154,"2,031",,,
Roberts,1,0,144,96,48,672,193,16,0,227,,,
Robertson,7,"1,200","1,905","1,411",494,"13,474","3,412",252,252,"4,991",,,
Rockwall,2/3,"8,175","16,159","11,726","4,433","80,325","13,395","3,750","1,347","27,575",,,
Runnels,2/3,"1,800","1,819","1,191",628,"8,184","2,153",405,312,"2,979",,,
Rusk,4/5N,"2,000","4,704","3,430","1,274","43,777","9,197","1,501",759,"17,428",,,
Sabine,4/5N,"1,600","1,865","1,302",563,"8,871","3,267",572,186,"3,077",,,
San Augustine,4/5N,"1,200","1,255",878,377,"6,811","2,227",415,337,"2,590",,,
San Jacinto,4/5N,"1,800","2,610","1,847",763,"23,444","6,488",132,190,"9,275",,,
San Patricio,11,"4,200","8,556","6,217","2,339","51,116","10,209",975,347,"19,063",,,
San Saba,7,300,299,228,71,"5,000","1,465",33,72,"1,828",,,
Schleicher,9/10,400,528,410,118,"2,218",559,65,34,793,,,
Scurry,2/3,"3,925","2,296","1,585",711,"13,000","2,566",399,128,"5,165",,,
Shackelford,2/3,300,389,332,57,"2,612",691,52,0,937,,,
Shelby,4/5N,"1,700","1,758","1,119",639,"19,449","4,532",540,369,"7,876",,,
Sherman,1,500,596,451,145,"2,294",462,24,42,868,,,
Smith,4/5N,"74,400","39,683","26,266","13,417","182,283","39,337","19,690","3,030","62,467",,,
Somervell,2/3,600,"1,302","1,012",290,"7,386","1,770",457,220,"2,741",,,
Starr,11,"8,000","8,177","6,012","2,165","45,765","7,370","4,479","1,999","21,117",,,
Stephens,2/3,900,912,661,251,"7,542","1,890",168,92,"2,928",,,
Sterling,9/10,100,137,108,29,975,186,10,44,375,,,
Stonewall,2/3,500,319,245,74,"1,095",361,63,53,369,,,
Sutton,9/10,400,464,361,103,"2,992",723,91,0,"1,051",,,
Swisher,1,500,"1,308",948,360,"5,764","1,305",114,61,"2,381",,,
Tarrant,2/3,"440,250","283,075","184,919","98,156","1,617,160","244,511","86,106","18,386","590,239",,,
Taylor,2/3,"30,525","24,247","17,913","6,334","107,257","20,131","11,065","2,465","36,680",,,
Terrell,9/10,0,209,195,14,639,255,10,0,207,,,
Terry,1,"3,650","2,862","1,972",890,"9,307","1,858",345,178,"3,985",,,
Throckmorton,2/3,600,463,376,87,"1,247",445,64,0,399,,,
Titus,4/5N,"5,200","2,972","1,983",989,"24,323","4,845","1,811",633,"9,797",,,
Tom Green,9/10,"28,400","24,162","16,124","8,038","93,752","18,625","6,702","1,601","33,131",,,
Travis,7,"242,000","158,358","109,778","48,580","1,032,386","129,553","51,820","8,264","311,477",,,
Trinity,4/5N,"2,850","2,208","1,627",581,"12,104","3,956",347,241,"4,400",,,
Tyler,4/5N,"2,900","3,221","2,277",944,"17,963","4,895",476,238,"6,926",,,
Upshur,4/5N,"1,600","3,449","2,487",962,"33,011","7,825",714,567,"12,366",,,
Upton,9/10,500,866,699,167,"2,730",537,170,30,"1,105",,,
Uvalde,8,"9,325","5,855","4,090","1,765","20,379","4,508","1,498",515,"8,253",,,
Val Verde,8,"7,200","5,799","4,549","1,250","36,546","7,003","2,610",490,"14,417",,,
Van Zandt,4/5N,"3,000","5,811","3,997","1,814","45,216","11,495","1,280",711,"16,861",,,
Victoria,8,"17,850","14,760","10,585","4,175","71,388","15,242","5,624","1,030","27,119",,,
Walker,6/5S,"5,900","5,742","4,096","1,646","63,471","10,049","1,526",400,"24,628",,,
Waller,6/5S,"3,400","4,337","3,169","1,168","43,350","6,546","1,182",466,"16,819",,,
Ward,9/10,700,"1,740","1,362",378,"8,921","1,629",137,92,"3,551",,,
Washington,7,"19,000","6,379","5,128","1,251","29,086","7,889","2,581","1,018","10,662",,,
Webb,11,"52,100","44,103","31,305","12,798","196,916","26,921","12,073","1,646","88,397",,,
Wharton,6/5S,"3,800","4,168","2,824","1,344","32,110","7,239","1,438",615,"12,933",,,
Wheeler,1,"1,000","1,092",744,348,"3,915","1,002",200,114,"1,459",,,
Wichita,2/3,"31,350","25,817","17,119","8,698","105,631","19,854","8,664","2,030","42,031",,,
Wilbarger,2/3,"5,800","3,658","2,478","1,180","10,361","2,421",457,304,"4,240",,,
Willacy,11,900,"2,683","2,024",659,"16,897","3,057",325,557,"7,612",,,
Williamson,7,"82,850","66,774","47,142","19,632","458,433","73,202","14,404","4,639","146,388",,,
Wilson,8,"4,500","6,712","4,317","2,395","40,488","8,411","1,224",615,"13,986",,,
Winkler,9/10,500,"1,114",878,236,"5,954",964,102,0,"2,445",,,
Wise,2/3,"7,950","7,969","4,761","3,208","54,722","10,598","3,589",552,"22,459",,,
Wood,4/5N,"2,500","5,943","4,181","1,762","38,005","12,527","1,046",880,"13,019",,,
Yoakum,1,800,"1,326",881,445,"6,135","1,033",225,60,"2,367",,,
Young,2/3,"3,200","2,878","2,018",860,"14,219","3,774",862,431,"5,296",,,
Zapata,11,"1,100","1,584","1,384",200,"9,981","1,866",195,202,"4,642",,,
Zavala,8,200,"2,814","2,378",436,"8,840","1,723",25,60,"4,035",,,
*Other,N/A,"720,525","257,715","216,001","41,714",,,,,,,,
,,,,,,,,,,,,,