state,tot_cases
CA,3512965
TX,2597471
FL,1868772
NY,1626786
IL,1174409
GA,985505
OH,953767
PA,918178
NC,842637
AZ,807967
NJ,766405
TN,764008
IN,655541
MI,636269
MA,567764
VA,564115
WI,559575
MO,517423
SC,504149
AL,486843
MN,479036
LA,424176
CO,419812
OK,419354
KY,396997
MD,376355
UT,366735
IA,359470
WA,336860
AR,515230
KS,293463
MS,290632
CT,273101
NE,198949
NM,182475
ID,169180
OR,152711
WV,129616
RI,123145
SD,111304
ND,99277
MT,98779
DE,84732
NH,73161
AK,55198
WY,53683
ME,43497
DC,39648
HI,27107
VT,14493
NV,290972